id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
2636638,Stromness,GB,58.97,-3.3,50.0,50.0,50.0,87.0,75,9.17
2155415,New Norfolk,AU,-42.78,147.06,44.29,45.0,44.01,76.0,63,2.46
5848280,Kapaa,US,22.08,-159.32,73.0,73.0,73.0,76.0,2,8.23
2208248,Kaitangata,NZ,-46.28,169.85,46.0,46.0,46.0,84.0,39,3.0
3874787,Punta Arenas,CL,-53.15,-70.92,42.4,42.8,42.01,70.0,40,34.45
3370903,Jamestown,SH,-15.94,-5.72,61.68,61.68,61.68,98.0,71,21.07
3652764,Puerto Ayora,EC,-0.74,-90.35,71.01,71.01,71.01,88.0,100,11.99
204953,Tshikapa,CD,-6.42,20.8,88.07,88.07,88.07,61.0,20,1.52
2110227,Butaritari,KI,3.07,172.79,81.73,81.73,81.73,73.0,100,11.54
