id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
2092164,Lorengau,PG,-2.02,147.27,84.51,84.51,84.51,68.0,94,4.5
3421765,Nanortalik,GL,60.14,-45.24,35.64,35.64,35.64,93.0,100,15.12
2960970,Westport,IE,53.8,-9.52,53.01,53.01,53.01,90.0,34,4.9
2610343,Vestmanna,FO,62.16,-7.17,39.2,39.2,39.2,77.0,5,5.82
3419842,Sisimiut,GL,66.94,-53.67,33.17,33.17,33.17,90.0,100,27.11
2015852,Svetlaya,RU,46.54,138.33,53.82,53.82,53.82,58.0,100,11.97
1356491,Ahmadpur Sial,PK,30.68,71.75,64.4,64.4,64.4,77.0,0,4.7
2036892,Hohhot,CN,40.81,111.65,35.6,35.6,35.6,37.0,1,4.47
1282256,Hithadhoo,MV,-0.6,73.08,82.04,82.04,82.04,80.0,65,13.71
1863997,Fukuechō,JP,32.69,128.84,75.2,75.2,75.2,60.0,75,11.41
3459094,Laguna,BR,-28.48,-48.78,66.96,66.96,66.96,95.0,10,4.97
1850878,Taketa,JP,32.97,131.38,69.01,69.01,69.01,64.0,64,11.01
3860443,Comodoro Rivadavia,AR,-45.87,-67.5,46.4,46.4,46.4,70.0,95,5.82
2411397,Georgetown,SH,-7.93,-14.42,75.6,75.6,75.6,82.0,82,17.43
1213855,Sibolga,ID,1.74,98.78,85.12,85.12,85.12,64.0,47,1.52
934322,Mahébourg,MU,-20.41,57.7,73.4,73.4,73.4,83.0,40,10.29
3572627,Cockburn Town,BS,24.03,-74.52,81.88,81.88,81.88,78.0,100,23.62
5367788,Lompoc,US,34.64,-120.46,58.01,60.8,55.4,82.0,90,8.05
3831208,Qaanaaq,GL,77.48,-69.36,20.41,20.41,20.41,82.0,37,6.17
5955902,Fort Nelson,CA,58.81,-122.7,17.6,17.6,17.6,72.0,20,4.7
2445704,Diffa,NE,13.32,12.61,81.57,81.57,81.57,20.0,0,9.08
162158,Baharly,TM,38.44,57.43,57.18,57.18,57.18,38.0,0,2.39
5880054,Barrow,US,71.29,-156.79,28.4,28.4,28.4,86.0,90,12.75
3430863,Mar del Plata,AR,-38.0,-57.56,47.05,52.0,42.8,87.0,0,5.82
2123979,Kuril'sk,RU,45.23,147.88,48.29,48.29,48.29,55.0,5,7.65
2138522,Poya,NC,-21.35,165.15,78.03,78.03,78.03,60.0,62,4.25
2219235,Ubari,LY,26.59,12.78,66.76,66.76,66.76,56.0,27,9.46
6185377,Yellowknife,CA,62.46,-114.35,21.07,21.2,21.0,79.0,20,9.17
3466165,Cidreira,BR,-30.18,-50.21,68.88,68.88,68.88,93.0,97,7.36
1223738,Weligama,LK,5.97,80.42,80.58,80.58,80.58,82.0,9,11.45
5847411,Kahului,US,20.89,-156.47,83.66,89.6,79.0,40.0,20,11.41
4791259,Virginia Beach,US,36.85,-75.98,66.7,68.0,64.99,99.0,100,5.26
1159384,Tāybād,IR,34.74,60.78,53.53,53.53,53.53,33.0,0,11.32
3832899,Viedma,AR,-40.81,-63.0,48.58,48.58,48.58,68.0,74,9.82
2510573,Teguise,ES,29.06,-13.56,73.4,73.4,73.4,73.0,99,1.12
3883457,Lebu,CL,-37.62,-73.65,49.06,49.06,49.06,78.0,0,17.52
1006984,East London,ZA,-33.02,27.91,57.49,57.49,57.49,66.0,0,5.5
6696258,Campbellton,CA,48.01,-66.67,38.88,38.88,38.88,84.0,100,6.51
5334423,Carpinteria,US,34.4,-119.52,63.0,63.0,63.0,95.0,0,8.99
2013727,Vanavara,RU,60.34,102.28,26.37,26.37,26.37,96.0,99,6.33
6165406,Thompson,CA,55.74,-97.86,24.8,24.8,24.8,85.0,90,2.24
3372707,Ribeira Grande,PT,38.52,-28.7,63.55,63.55,63.55,68.0,78,25.43
2206939,Bluff,NZ,-46.6,168.33,57.0,57.0,57.0,60.0,50,11.99
6170031,Tuktoyaktuk,CA,69.45,-133.04,23.0,23.0,23.0,92.0,90,17.22
5713587,Bend,US,44.06,-121.32,49.53,51.01,46.0,69.0,48,5.03
2964782,Dingle,IE,52.14,-10.27,53.29,53.29,53.29,92.0,74,3.96
2121385,Severo-Kuril'sk,RU,50.68,156.12,42.6,42.6,42.6,65.0,59,28.72
4031574,Provideniya,RU,64.38,-173.3,44.6,44.6,44.6,87.0,90,6.71
935215,Saint-Philippe,RE,-21.36,55.77,66.51,70.0,59.0,60.0,15,3.36
6078372,Moose Factory,CA,51.26,-80.61,32.0,32.0,32.0,93.0,1,4.7
546105,Nikolskoye,RU,59.7,30.79,30.18,32.0,28.4,92.0,90,3.44
1259385,Port Blair,IN,11.67,92.75,82.62,82.62,82.62,81.0,23,15.32
5882953,Aklavik,CA,68.22,-135.01,23.0,23.0,23.0,92.0,90,8.05
1280037,Shache,CN,38.42,77.24,47.32,47.32,47.32,43.0,0,3.62
1214026,Sabang,ID,5.89,95.32,83.41,83.41,83.41,73.0,30,14.34
3386213,Touros,BR,-5.2,-35.46,73.4,73.4,73.4,88.0,40,3.36
6355222,Yulara,AU,-25.24,130.99,93.2,93.2,93.2,17.0,0,3.36
4000490,La Reforma,MX,25.08,-108.05,85.5,87.8,84.99,52.0,20,5.82
2544571,Kenitra,MA,34.26,-6.58,68.0,68.0,68.0,82.0,40,10.29
3653967,Muisne,EC,0.6,-80.03,75.27,75.27,75.27,83.0,100,7.87
1496073,Orlik,RU,52.52,99.83,18.9,18.9,18.9,85.0,58,3.69
933995,Souillac,MU,-20.52,57.52,73.4,73.4,73.4,83.0,40,10.29
3836620,Orán,AR,-23.13,-64.33,75.0,75.0,75.0,64.0,87,4.0
3423146,Ilulissat,GL,69.22,-51.1,33.8,33.8,33.8,95.0,100,9.17
161616,Balkanabat,TM,39.51,54.37,55.08,55.08,55.08,80.0,17,4.41
5536630,Cedar City,US,37.68,-113.06,60.8,60.8,60.8,18.0,1,9.17
3927774,Tarata,PE,-17.47,-70.03,52.45,52.45,52.45,50.0,87,2.53
3347719,Luena,AO,-11.78,19.92,63.07,63.07,63.07,72.0,0,5.7
1853174,Sakaiminato,JP,35.55,133.23,69.4,71.6,66.2,49.0,40,10.29
3418910,Upernavik,GL,72.79,-56.15,32.74,32.74,32.74,92.0,100,2.86
2636790,Stornoway,GB,58.21,-6.39,49.17,50.0,48.0,87.0,100,28.86
1255816,Sompeta,IN,18.93,84.6,82.2,82.2,82.2,76.0,6,10.85
3393536,Olinda,BR,-8.01,-34.86,78.8,78.8,78.8,78.0,40,12.75
2333451,Kumo,NG,10.04,11.21,74.79,74.79,74.79,66.0,0,6.22
3430708,Mercedes,AR,-34.65,-59.43,52.34,53.01,52.0,35.0,28,5.01
2014624,Udachny,RU,66.42,112.4,3.2,3.2,3.2,91.0,90,2.24
6096551,Pangnirtung,CA,66.15,-65.71,24.57,24.57,24.57,94.0,100,3.53
370481,Merowe,SD,18.48,31.82,76.66,76.66,76.66,18.0,1,12.08
3520994,Puerto Escondido,MX,15.85,-97.07,78.8,78.8,78.8,74.0,75,5.82
3519274,San Francisco del Mar Viejo,MX,16.23,-94.65,82.27,82.27,82.27,70.0,11,21.45
3985710,Cabo San Lucas,MX,22.89,-109.91,81.34,84.0,78.8,83.0,5,12.75
2070998,Geraldton,AU,-28.77,114.6,69.8,69.8,69.8,60.0,75,17.22
2318123,Yenagoa,NG,4.92,6.26,75.85,75.85,75.85,94.0,94,3.83
2635199,Ullapool,GB,57.9,-5.16,50.0,50.0,50.0,52.0,98,10.0
2699791,Köping,SE,59.51,15.99,45.55,46.0,44.6,93.0,100,4.7
2206854,Gisborne,NZ,-38.65,178.0,70.0,70.0,70.0,69.0,100,3.0
2063036,Port Lincoln,AU,-34.73,135.87,61.92,61.92,61.92,70.0,93,9.82
3461888,Guarapari,BR,-20.67,-40.5,69.8,69.8,69.8,94.0,75,5.82
4001056,La Orilla,MX,17.98,-102.23,79.92,79.92,79.92,88.0,49,4.56
1499042,Melioratorov,RU,57.21,65.61,35.6,35.6,35.6,96.0,75,4.47
3585157,La Libertad,SV,13.49,-89.32,74.23,78.8,70.0,94.0,40,3.36
2447513,Arlit,NE,18.74,7.39,84.99,84.99,84.99,13.0,0,6.44
