coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': -127.42, 'lat': 50.7}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 48.2, 'feels_like': 44.62, 'temp_min': 48.2, 'temp_max': 48.2, 'pressure': 1021, 'humidity': 81}",10000,"{'speed': 3.36, 'deg': 190}",{'all': 75},1603247072,"{'type': 1, 'id': 1011, 'country': 'CA', 'sunrise': 1603206104, 'sunset': 1603243599}",-25200,6111862,Port Hardy,200,,
"{'lon': 19.23, 'lat': -34.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 51.01, 'feels_like': 48.54, 'temp_min': 51.01, 'temp_max': 51.01, 'pressure': 1021, 'humidity': 85}",10000,"{'speed': 3, 'deg': 153, 'gust': 8.01}",{'all': 0},1603246665,"{'type': 3, 'id': 2003650, 'country': 'ZA', 'sunrise': 1603252392, 'sunset': 1603299707}",7200,3366880,Hermanus,200,,
"{'lon': 167.68, 'lat': -46.13}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 57, 'feels_like': 49.06, 'temp_min': 57, 'temp_max': 57, 'pressure': 1019, 'humidity': 58}",10000,"{'speed': 11.01, 'deg': 223, 'gust': 18.01}",{'all': 68},1603246701,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1603215809, 'sunset': 1603265043}",46800,2180815,Tuatapere,200,,
"{'lon': 58.14, 'lat': 48.83}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 38.64, 'feels_like': 29.07, 'temp_min': 38.64, 'temp_max': 38.64, 'pressure': 1016, 'humidity': 76, 'sea_level': 1016, 'grnd_level': 988}",10000,"{'speed': 10.58, 'deg': 304}",{'all': 19},1603247072,"{'country': 'KZ', 'sunrise': 1603247821, 'sunset': 1603285604}",18000,609924,Emba,200,,
"{'lon': -70.92, 'lat': -53.15}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 41, 'feels_like': 34.41, 'temp_min': 41, 'temp_max': 41, 'pressure': 1020, 'humidity': 75}",10000,"{'speed': 5.82, 'deg': 10}",{'all': 75},1603246980,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1603185882, 'sunset': 1603236703}",-10800,3874787,Punta Arenas,200,,
"{'lon': -139.03, 'lat': -9.8}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 77.97, 'feels_like': 76.78, 'temp_min': 77.97, 'temp_max': 77.97, 'pressure': 1010, 'humidity': 75, 'sea_level': 1010, 'grnd_level': 1007}",10000,"{'speed': 15.12, 'deg': 88}",{'all': 79},1603246911,"{'country': 'PF', 'sunrise': 1603205385, 'sunset': 1603249890}",-34200,4020109,Atuona,200,,
"{'lon': 98.86, 'lat': 55.08}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 35.13, 'feels_like': 27.36, 'temp_min': 35.13, 'temp_max': 35.13, 'pressure': 1021, 'humidity': 86, 'sea_level': 1021, 'grnd_level': 960}",10000,"{'speed': 7.29, 'deg': 276}",{'all': 100},1603246867,"{'country': 'RU', 'sunrise': 1603238764, 'sunset': 1603275117}",28800,1488616,Uk,200,,
"{'lon': -3.53, 'lat': 18.9}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 83.62, 'feels_like': 75.58, 'temp_min': 83.62, 'temp_max': 83.62, 'pressure': 1010, 'humidity': 19, 'sea_level': 1010, 'grnd_level': 979}",10000,"{'speed': 9.35, 'deg': 4}",{'all': 0},1603247073,"{'country': 'ML', 'sunrise': 1603260601, 'sunset': 1603302423}",0,2460954,Araouane,200,,
"{'lon': 22.22, 'lat': -10.71}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 65.73, 'feels_like': 66.24, 'temp_min': 65.73, 'temp_max': 65.73, 'pressure': 1010, 'humidity': 73, 'sea_level': 1010, 'grnd_level': 889}",10000,"{'speed': 2.93, 'deg': 336}",{'all': 4},1603247074,"{'country': 'AO', 'sunrise': 1603253028, 'sunset': 1603297637}",3600,876177,Luau,200,,
"{'lon': -175.2, 'lat': -21.2}","[{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}]",stations,"{'temp': 75.2, 'feels_like': 76.28, 'temp_min': 75.2, 'temp_max': 75.2, 'pressure': 1016, 'humidity': 69}",10000,"{'speed': 6.93, 'deg': 100}",{'all': 75},1603246660,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1603299849, 'sunset': 1603345567}",46800,4032243,Vaini,200,,
